name,platform,year_of_release,genre,sales
Dream C Club Portable,PSP,2010,Simulation,0
Hail to the Chimp,X360,2008,Misc,0.05
Tom Clancy's Rainbow Six 3,GC,2004,Shooter,0.04
Elemental Gearbolt,PS,1997,Shooter,0.03
Rocket League,PC,2016,Sports,0.01
Warriors: Legends of Troy,X360,2011,Action,0
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016,Misc,0.01
WWF Wrestlemania: The Arcade Game,PS,1995,Fighting,0.03
Dungeon Explorer: Warriors of Ancient Arts,DS,2007,Role-Playing,0.05
Cabela's Big Game Hunter 2005 Adventures,GBA,2004,Sports,0.04
Mega Man 8 Anniversary Collector's Edition,SAT,1997,Platform,0
Whiplash,XB,2003,Racing,0.04
V-Rally 3,PS2,2002,Racing,0.03
Pro Yakyuu Famista 2011,3DS,2011,Sports,0
Impact Racing,PS,1996,Racing,0.03
Mirror's Edge,PC,2009,Platform,0
Titan Quest,PC,2006,Role-Playing,0.01
Amazing Island,GC,2004,Strategy,0.04
Space Chimps,DS,2008,Platform,0.05
SeaBlade,XB,2002,Shooter,0.04
Jikkyou Powerful Pro Yakyuu DreamCast Edition,DC,2000,Sports,0
Carmen Sandiego: The Secret of the Stolen Drums,PS2,2004,Action,0.03
Izuna 2: The Unemployed Ninja Returns,DS,2007,Role-Playing,0.05
Tokyo Mono Harashi: Karasu no Mori Gakuen Kitan,PSP,2010,Role-Playing,0
Saki: Zenkoku-hen,PSV,2015,Misc,0
Point Blank DS (US sales),DS,2006,Shooter,0.05
Ski Region Simulator,PC,2011,Simulation,0
MotoGP 4 - Official Game of MotoGP,PS2,2005,Racing,0.03
Gothic 3,PC,2006,Role-Playing,0
Roogoo Twisted Towers,Wii,2009,Puzzle,0.05
Kyoukai Senjou no Horizon Portable,PSP,2013,Adventure,0
Shining Force III: Scenario 2,SAT,1998,Strategy,0
History Great Empires: Rome,DS,2009,Strategy,0.05
7 Days to Die,XOne,2016,Action,0.03
Chuck E. Cheese's Playhouse,DS,2010,Misc,0.05
Worms World Party,GBA,2002,Strategy,0.04
Medabots: Metabee,GBA,2002,Role-Playing,0.04
Alvin and the Chipmunks,Wii,2007,Misc,0.05
Final Fight: Streetwise,PS2,2006,Action,0.03
Speed Kings,XB,2003,Racing,0.04
Rebelstar: Tactical Command,GBA,2005,Strategy,0.04
F1 2010,PC,2010,Racing,0
Gladiator: Sword of Vengeance,XB,2003,Action,0.04
Minna to Kimi no Piramekino!,DS,2010,Misc,0
Dungeon Keeper 2,PC,1999,Action,0
Bombastic,PS2,2002,Puzzle,0.03
NHL Powerplay 98,PS,1997,Sports,0.03
My Amusement Park,DS,2010,Misc,0.05
Chocolatier,DS,2010,Misc,0.05
Kid Fit Island Resort,Wii,2010,Sports,0.05
Jewel Link Chronicles: Mountains of Madness,DS,,Puzzle,0
Olympic Soccer: Atlanta 1996,PS,1996,Sports,0.03
Samurai Dou Portable,PSP,2008,Action,0
Phantasy Star Online Episode I & II Plus,GC,2003,Role-Playing,0.04
Coraline,Wii,2009,Action,0.05
Major League Baseball 2K11,PSP,2011,Sports,0.05
Front Mission 2089: Border of Madness,DS,2008,Strategy,0
Dual Hearts,PS2,2002,Role-Playing,0.03
NFL Quarterback Club 2002,GC,2001,Sports,0.04
Xiaolin Showdown,DS,2006,Action,0.05
Chaos;Child,PSV,2015,Adventure,0
Hearts of Iron IV,PC,2016,Strategy,0
Wing Commander: Prophecy,GBA,2003,Simulation,0.04
Drivers Ed Portable,DS,2008,Misc,0.05
Marc Ecko's Getting Up: Contents Under Pressure,PS2,2006,Action,0.03
"Murder, She Wrote",PC,2009,Adventure,0
Captain America: Super Soldier,Wii,,Action,0.05
Sega Soccer Slam,XB,2002,Sports,0.04
Enemy Front,PS3,2014,Shooter,0.01
Hakuouki: Reimeiroku,PS2,2010,Adventure,0
Vertigo,Wii,2009,Strategy,0.05
Blood Omen 2,GC,2002,Action,0.04
Unsolved Crimes,DS,2008,Adventure,0.04
Ghostbusters (2016),PS4,2016,Action,0.04
Shin Sangoku Musou 5 Empires,PSP,2010,Action,0
Air Conflicts: Aces of World War II,PSP,2009,Simulation,0.05
Carve,XB,2004,Racing,0.04
BlowOut,XB,2003,Shooter,0.04
GunPey,PSP,2006,Puzzle,0.05
Front Mission Evolved,PC,2010,Shooter,0.05
GachiTora! Abarenbou Kyoushi in High School,PSP,2011,Action,0
McDROID,PSP,2011,Strategy,0
Bottom of the 9th '99,PS,1998,Sports,0.03
WTA Tour Tennis,PS2,2001,Sports,0.03
Dynasty Warriors 5,XB,2005,Action,0.04
Samurai Warriors 4-II,PSV,2015,Action,0
Famicom Mini: Dig Dug,GBA,2004,Puzzle,0
FIFA Soccer 2003,GBA,2002,Sports,0.04
Naval Ops: Commander,PS2,2004,Simulation,0.03
The Lost Chronicles of Zerzura,PC,2012,Adventure,0
Adventure Time: Finn & Jake Investigations,XOne,2015,Action,0.03
4 Elements,PC,2009,Puzzle,0
Uta no Prince-Sama: Music 3,PSV,2016,Action,0
New Prince of Tennis: Go to the Top,3DS,2015,Action,0
Virtual Villagers: A New Home,DS,2010,Simulation,0.04
Batman: A Telltale Game Series,PS3,2016,Adventure,0.01
Defendin' De Penguin,Wii,2008,Strategy,0.05
Murdered: Soul Suspect,PC,2014,Action,0
Activision Hits: Remixed,PSP,2006,Misc,0.05
Bleach: Blade Battlers,PS2,2006,Fighting,0
Rez,PS2,2001,Shooter,0.03
MLB SlugFest 2006,XB,2006,Sports,0.04
Goosebumps: The Game,3DS,2015,Adventure,0.05
Neverland Card Battles,PSP,2008,Role-Playing,0.04
Lufia: The Ruins of Lore,GBA,2002,Role-Playing,0.04
UEFA Euro 2004: Portugal,XB,2004,Sports,0.04
Airline Tycoon 2,PC,2011,Simulation,0
Jissen Pachislot Hisshouhou! Hokuto no Ken DS SE,DS,2006,Misc,0
Taito Legends Power Up,PSP,2007,Action,0.05
Shaman King: Soul Fight,GC,2003,Platform,0
Samurai Deeper Kyo,PS,2002,Fighting,0
Petz Bunnyz Bunch,DS,2011,Simulation,0.05
Project Setsuna,PSV,2016,Role-Playing,0
Medabots: Infinity,GC,2003,Role-Playing,0.04
MotoGP 15,PS3,2015,Racing,0
Criminal Girls 2,PSV,2015,Role-Playing,0.01
Omega Labyrinth,PSV,2015,Role-Playing,0
Zapper: One Wicked Cricket!,XB,2002,Platform,0.04
Jirou Akagawa: Majotachi no Nemuri,SNES,1995,Adventure,0
PopStar Guitar,Wii,2008,Misc,0.03
Bust-A-Bloc,PS2,2002,Puzzle,0
Pucca Power Up,DS,2011,Platform,0.04
Sitting Ducks,PS2,2003,Platform,0.03
Puyo Puyo 7,Wii,2009,Puzzle,0
My Fitness Coach: Club,Wii,2011,Sports,0
IL-2 Sturmovik: Cliffs of Dover,PC,2011,Simulation,0
Nobunaga's Ambition: Sphere of Influence,PSV,2014,Strategy,0
NFL Blitz Pro,XB,2003,Sports,0.04
Pretty Cure All Stars Everyone Gather ? Let's Dance!,Wii,2013,Misc,0
Mountain Bike Adrenaline,PS2,,Sports,0.03
Zyuden Sentai Kyoryuger: Game de Gaburincho!!,3DS,2013,Action,0
Hi-Octane: The Track Fights Back!,PS,1995,Racing,0.03
Black Sigil: Blade of the Exiled,DS,2009,Role-Playing,0.05
Death Jr. II: Root of Evil,PSP,2006,Platform,0.05
Wakeboarding Unleashed Featuring Shaun Murray,XB,2003,Sports,0.04
Mighty No. 9,PS4,2016,Platform,0.04
Touch 'N' Play Collection,DS,2010,Misc,0.03
Doraemon 2: Nobita no Toizurando Daibouken,SNES,1993,Role-Playing,0
Samurai Champloo: Sidetracked,PS2,2006,Action,0.03
Dead or Alive Xtreme 3: Fortune,PS4,2016,Sports,0
Drill Dozer,GBA,,Platform,0.04
Katekyoo Hitman Reborn! DS: Shinuki Max! Vongola Carnival!!,DS,2007,Action,0
Metal Fight Beyblade: Bakugami Susanoh Shuurai!,DS,2010,Action,0
Fatal Fury: Wild Ambition,PS,1999,Fighting,0.03
Mister Slime,DS,2008,Action,0.05
Winning Post 8 ,PS3,2014,Racing,0
Learn Science,DS,2010,Misc,0.05
Medal of Honor: Airborne,PC,2007,Shooter,0
Dengeki Gakuen RPG: Cross of Venus,DS,2009,Role-Playing,0
Judge Dredd,PS,1997,Platform,0.03
Minna no Ennichi,3DS,2012,Action,0
Domino Rally,Wii,2007,Action,0.05
King Arthur,XB,2004,Action,0.04
Bass Rise,PS,1999,Sports,0.03
Dynamite Headdy,GEN,1993,Platform,0
Choujikuu Yousai Macross: Do You Remember Love,PS3,2012,Shooter,0
Arcania: Gothic 4,PS4,2015,Role-Playing,0.04
Match 3 Madness,DS,2010,Puzzle,0
Countdown: The Game,Wii,2009,Puzzle,0
Rockin' Pretty,DS,2009,Misc,0.05
Men of War: Assault Squad,PC,2011,Strategy,0.01
Persona 2: Eternal Punishment,PSP,2012,Role-Playing,0
Dragon's Lair 3D: Return to the Lair,XB,2002,Platform,0.04
Rhapsody: A Musical Adventure,DS,2008,Role-Playing,0.05
Growlanser: Heritage of War (jp sales),PS2,2006,Role-Playing,0
Myst IV: Revelation,XB,2005,Adventure,0.04
Sled Shred featuring the Jamaican Bobsled Team,Wii,2010,Sports,0.05
Pachinko Wars II,SNES,1993,Misc,0
Jake Power: Policeman,DS,2008,Adventure,0.05
The Nightmare of Druaga: Fushigino Dungeon,PS2,2004,Role-Playing,0.03
Dead Island Definitive Collection,XOne,2016,Action,0.02
PAC-MAN and the Ghostly Adventures,WiiU,2013,Platform,0.03
Animal Planet: Vet Collection,DS,2010,Simulation,0.05
Lernerfolg Vorschule: Capt'n Sharky,DS,2009,Misc,0
Virtua Striker 2002,GC,2002,Sports,0.01
WRC 5: FIA World Rally Championship,PS4,2015,Sports,0
UEFA Champions League 2006-2007,X360,2007,Sports,0.04
Fate/Unlimited Codes Portable,PSP,2009,Fighting,0
Centipede: Infestation,Wii,2011,Shooter,0.05
F1 2015,PC,2015,Racing,0
Game no Kanzume Vol 2,SCD,1994,Misc,0
Luminous Arc Infinity,PSV,2015,Action,0
Disney's PK: Out of the Shadows,GC,2002,Platform,0.04
Aliens in the Attic,DS,2009,Action,0.05
JoJo no Kimy? na B?ken Fantomu Buraddo,PS2,2006,Action,0
The Idolmaster 2,X360,2011,Simulation,0
Hunted: The Demon's Forge,PC,2011,Action,0.03
Powerdrome,PS2,2004,Racing,0.03
Dreamer Series: Puppy Trainer,DS,2008,Simulation,0.05
SingStar Mallorca Party,PS3,2009,Misc,0
Pro Yakyuu Spirits 5 Kanzenban,PS2,2008,Sports,0
Shin Sangoku Musou 5 Special,PSP,2009,Action,0
Major Minor's Majestic March,Wii,2009,Misc,0.05
Pony Friends: Mini Breeds Edition,DS,2008,Simulation,0.05
Otogi 2: Immortal Warriors,XB,2003,Action,0.04
Legend of Kay,PS2,2005,Action,0.03
Walt Disney Pictures Presents Enchanted,DS,2007,Platform,0.04
Lucha Libre AAA: Heroes del Ring,X360,2010,Fighting,0.05
Piglet's Big Game,GC,2003,Platform,0.04
Tom Clancy's HAWX 2,PC,2010,Action,0
Myth Makers: Orbs of Doom,Wii,2007,Puzzle,0.05
Fallout: Brotherhood of Steel,XB,2004,Role-Playing,0.04
Koi to Senkyo to Chocolate Portable,PSP,2012,Adventure,0
IndyCar Series,XB,2003,Racing,0.04
Strawberry Shortcake: Strawberryland Games,DS,2006,Action,0.05
Ultra Bust-A-Move,XB,2004,Puzzle,0.04
Rally Fusion: Race of Champions,XB,2002,Racing,0.04
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,2016,Action,0.01
Sherlock Holmes: Crimes & Punishments,X360,2014,Adventure,0.03
Piglet's Big Game,GBA,2003,Platform,0.04
Killing Floor 2 ,PS4,2016,Shooter,0.03
Pinball Hall of Fame: The Gottlieb Collection,GC,2005,Misc,0.04
Ferrari F355 Challenge,PS2,2002,Racing,0.03
Adventure Time: Finn & Jake Investigations,WiiU,2015,Action,0.03
Mr Bean's Wacky World of Wii,Wii,2009,Adventure,0
Tiny Toon Adventures: Toonenstein - Dare to Scare,PS,1998,Action,0.03
My Horse & Me: Riding for Gold,Wii,2008,Sports,0.04
Mortal Kombat X,PC,2015,Fighting,0.01
TV Anime: Fairy Tale Gekitou! Madoushi Kessen,DS,2010,Fighting,0
Cities in Motion,PC,2011,Simulation,0
Shifters,PS2,2002,Adventure,0.03
Samantha Swift and the Hidden Roses of Athena,DS,2010,Adventure,0.04
RPG Tsukuru DS,DS,2010,Role-Playing,0
To Heart 2: Dungeon Travelers,PSV,2015,Adventure,0
Bladestorm: Nightmare,XOne,2015,Action,0.03
TNA iMPACT: Cross the Line,PSP,2010,Fighting,0.05
Dramatic Dungeon: Sakura Wars - Kimi Arugatame,DS,2008,Role-Playing,0
Kamen Rider: Dragon Knight,DS,2009,Fighting,0.05
The BIGS 2,DS,2009,Sports,0.05
Sacred 3,X360,2014,Role-Playing,0.03
Captain America: Super Soldier,DS,,Action,0.05
Venetica,PC,2009,Role-Playing,0
Operation Flashpoint: Dragon Rising,PC,2009,Shooter,0.02
Princess on Ice,DS,2008,Sports,0.04
Lagoon,SNES,1991,Role-Playing,0
Sesame Street: Cookie's Counting Carnival,PC,2010,Misc,0.05
Jewel Legends: Tree of Life,DS,2011,Puzzle,0
Wasteland 2,XOne,2015,Role-Playing,0.04
DoDonPachi Resurrection,X360,2010,Shooter,0
Trick x Logic: Season 1,PSP,2010,Adventure,0
Mawashite Tsunageru Touch Panic,DS,2006,Puzzle,0
MorphX,X360,2010,Shooter,0.05
Monster! Bass Fishing,GBA,2003,Sports,0.04
Sigma Star Saga,GBA,2005,Role-Playing,0.04
Winning Post 7 2010,PSP,2010,Sports,0
Imagine Animal Doctor Care Center,DS,2010,Simulation,0.05
Air Traffic Chaos,DS,2007,Simulation,0.05
Batman: Gotham City Racer,PS,2001,Racing,0.03
Game of Thrones (Telltale),PS4,2015,Adventure,0.04
Sengoku Basara X,PS2,2008,Fighting,0
Legend of Kay,WiiU,2015,Action,0.03
Imagine: Party Planner,DS,2009,Simulation,0.05
Doraemon: Nobita no Kyouryuu 2006 DS,DS,2006,Role-Playing,0
Ontamarama,DS,2007,Action,0.05
DokiDoki Majo Shinpan!,DS,2007,Adventure,0
Starry ? Sky: In Spring,PSP,2010,Misc,0
FIFA Soccer 2004,GBA,2003,Sports,0.04
Armored Core: Formula Front Extreme Battle,PSP,2004,Simulation,0.05
Downforce,PS2,2002,Racing,0.03
Little Busters! Converted Edition,PS2,2009,Adventure,0
Pet Pals: New Leash on Life,DS,2010,Simulation,0.05
Disney's Party,GC,2002,Misc,0.04
The Bureau: XCOM Declassified,PC,2013,Shooter,0
Hysteria Hospital: Emergency Ward,Wii,2009,Action,0.05
Nanostray 2,DS,2008,Shooter,0.03
Tennis no Oji-Sama: 2005 Crystal Drive,DS,2004,Sports,0
Dokapon Journey,DS,2008,Role-Playing,0.05
Summon Night X: Tears Crown,DS,2009,Role-Playing,0
Pawly Pets: My Vet Practice,DS,2007,Strategy,0
Metal Slug Anthology,PSP,2007,Shooter,0.02
Back to the Future: The Game,Wii,2011,Adventure,0.05
Taiho Shichauzo!,PS,2001,Adventure,0
Phantom Crash,XB,2002,Simulation,0.03
Yanya Caballista: City Skater,PS2,2001,Sports,0.02
Expendable,PS,1999,Action,0.03
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,DS,2005,Adventure,0.05
The Idolmaster: Gravure For You! Vol. 2,PS3,2011,Misc,0
Arthur! Ready to Race,PS,2000,Racing,0.03
Thunder Force V: Perfect System,PS,1998,Shooter,0.03
The Typing of the Dead,DC,2000,Shooter,0
Utawarerumono: Futari no Hakuoro,PS4,2016,Misc,0
Sam & Max: Beyond Time and Space,Wii,2010,Adventure,0.05
The Idolm@ster: Dearly Stars,DS,2009,Adventure,0
Shiren the Wanderer 5 Plus: Fortune Tower and the Dice of Fate,PSV,2015,Action,0.01
Over the Hedge: Hammy Goes Nuts!,PSP,2006,Platform,0.05
R.B.I. Baseball 2016,XOne,2016,Sports,0.05
Bakemonogatari Portable,PSP,2012,Action,0
Jenga World Tour,Wii,2007,Misc,0.05
Prism: Light the Way,DS,2007,Puzzle,0.05
Tenchu: Dark Secret,DS,2006,Action,0.03
Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku,DS,2006,Misc,0
Shrek Super Party,GC,2003,Misc,0.04
Monster 4x4: Masters of Metal,GC,2003,Racing,0.04
Bakusou Kyoudai Let's & Go!! Eternal Wings,PS,1998,Racing,0
Imagine: Artist,DS,2009,Misc,0.05
Top Spin 2,DS,2006,Sports,0.05
Keroro Gunsou: Enshuu da Yo! Zenin Shuugou Part 2,DS,2007,Action,0
NHL Blades of Steel '99,N64,1999,Sports,0.05
Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,3DS,2015,Action,0
Super Heroine Chronicle,PSV,2014,Role-Playing,0
Second Sight,GC,2004,Adventure,0.04
Philosoma,PS,1995,Shooter,0.03
Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield,SAT,1995,Misc,0
Puyo Pop,GBA,2001,Puzzle,0.04
Marriage Royale: Prism Story,PSP,2010,Adventure,0
Kamiwaza,PS2,2006,Action,0
SpongeBob SquarePants: Plankton's Robotic Revenge,WiiU,2013,Shooter,0
Arcana Heart 3,X360,2011,Fighting,0
Rave Master,GC,2002,Fighting,0
Bejeweled Twist,PC,2008,Puzzle,0.01
Kinnikuman Muscle Grand Prix Max,PS2,2006,Fighting,0
Suzuki Super-Bikes II: Riding Challenge,DS,2008,Racing,0.05
GRID,DS,,Racing,0.04
Steins;Gate 0,PS4,2015,Adventure,0
Ivy the Kiwi?,DS,2010,Puzzle,0.04
Jim Henson's Muppets in Spy Muppets: License to Croak,GBA,2003,Action,0.04
Medal of Honor: European Assault (weekly JP sales),PS2,2005,Shooter,0
Hail to the Chimp,PS3,2008,Misc,0.05
Alias,XB,2004,Action,0.04
Super Robot Taisen Neo,Wii,2009,Strategy,0
ESPN International Winter Sports 2002,GC,2002,Sports,0.04
Dual Heroes,N64,1997,Fighting,0.04
Fighter Destiny 2,N64,1999,Fighting,0.04
Hercules: The Legendary Journeys,N64,2000,Role-Playing,0.04
Chameleon Twist 2,N64,1998,Platform,0.04
OutRun 2006: Coast 2 Coast,PS2,2006,Racing,0.02
Blues Brothers 2000,N64,2000,Platform,0.04
Metal Max 2 Reloaded,DS,2011,Role-Playing,0
Jewel Master: Cradle of Persia,DS,2012,Puzzle,0
All Star Tennis 99,N64,1999,Sports,0.04
Nounai Aeshe: IQ Suppli DS 2 - Sukkiri King Ketteisen,DS,2007,Misc,0
Winning Post World,PS3,2009,Sports,0
PachiPara 14: Fuu to Kumo to Super Umi in Okinawa,PS2,2007,Misc,0
Arx Fatalis,XB,2003,Role-Playing,0.04
Mega Minis Volume 3,PSP,2011,Misc,0
Slam Dunk SD Heat Up!!,SNES,1995,Sports,0
The Mysterious Case of Dr. Jekyll and Mr. Hyde,DS,2010,Adventure,0.02
Dead in the Water,PS,1999,Action,0.03
Winning Post 7 2013,PS3,2013,Sports,0
Ride,PS3,2015,Racing,0
Detective Conan: Prelude from the Past,DS,2012,Action,0
Dr. Seuss: Green Eggs and Ham,GBA,2003,Action,0.04
Zumba Fitness Core,X360,2012,Misc,0
Atelier Rorona: Alchemist of Arland,PSV,2013,Role-Playing,0
Guilty Gear Dust Strikers,DS,2006,Fighting,0.05
Dark Summit,GC,2002,Sports,0.04
Orcs & Elves,DS,2007,Role-Playing,0.05
Odoru Daisousasen The Game: Sensuikan ni Sennyuu Seyo!,DS,2010,Adventure,0
Turbo Turtle Adventure,GBA,2002,Puzzle,0.04
Sengoku Basara 4: Sumeragi,PS4,2015,Action,0
TrackMania Turbo: Build to Race,DS,2010,Racing,0.02
Shinseiki Evangelion 2: Tsukurareshi Sekai - Another Cases,PSP,2006,Adventure,0
Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,SNES,1994,Misc,0
Kamen Rider: Battride War Genesis,PSV,2016,Action,0
Corpse Party: Blood Covered - Repeated Fear,PSP,2010,Adventure,0
Star Wars: Republic Commando,PC,2005,Shooter,0
Kart Racer,Wii,2009,Racing,0.03
Chronicles of the Sword,PS,1996,Adventure,0.03
The Lost Vikings,GBA,2003,Puzzle,0.04
Keiba Eight Special,SNES,1993,Sports,0
Harukanaru Toki no Naka de 3,PS2,2004,Adventure,0
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,GC,2005,Platform,0.04
Sherlock Holmes: Crimes & Punishments,PC,2014,Adventure,0
Reel Fishing: The Great Outdoors,PSP,2006,Sports,0.05
Guild 01,3DS,2012,Action,0
Tour de France 2011,X360,,Racing,0
Durarara!! 3-way Standoff,PSP,2010,Adventure,0
Ty the Tasmanian Tiger 3: Night of the Quinkan,GBA,2005,Action,0.04
Tokimeki Memorial Girl's Side 2nd Kiss,PS2,2006,Adventure,0
Fushigi no Dungeon: Fuurai no Shiren 3 Portable,PSP,2010,Role-Playing,0
Hokuto no Ken,PS2,2007,Fighting,0
Plants vs. Zombies,PC,2009,Strategy,0
Yu-Gi-Oh! GX: Spirit Caller (Japan Sales),DS,2006,Misc,0
Secret Files: Tunguska,DS,2008,Adventure,0.04
George of the Jungle and the Search for the Secret,DS,2008,Platform,0.05
Stretch Panic,PS2,2001,Platform,0.02
Hotel for Dogs,Wii,2009,Simulation,0.04
Microsoft Flight Simulator X Acceleration Expansion Pack,PC,2007,Simulation,0
Chousoku Henkei Gyrozetter: Albatross no Tsubasa,3DS,2013,Role-Playing,0
Blazing Souls: Accelate,PSP,2009,Role-Playing,0.04
PQ2: Practical Intelligence Quotient,PSP,2006,Puzzle,0.04
Baku Baku,SAT,1995,Puzzle,0
Sword Art Online: Game Director's Edition,PS4,2015,Role-Playing,0
SD Gundam: Over Galaxian,PS,1996,Shooter,0
Metroid Prime: Federation Force,3DS,2016,Action,0.02
Rogue Ops,GC,2003,Action,0.04
Smart Kid's Party Fun Pak,DS,2008,Misc,0.05
Dream Salon,Wii,2009,Misc,0.05
BeatMania IIDX 3rd Style,PS2,2000,Simulation,0
Natural Doctrine,PS3,2014,Role-Playing,0.03
DiRT 2,PC,2009,Racing,0
Payday 2,PC,2013,Shooter,0.04
Hummer Badlands,PS2,2006,Racing,0.02
Woody Woodpecker: Escape from Buzz Buzzard Park,PS2,2001,Platform,0.02
Ghostbusters (2016),XOne,2016,Action,0.04
"Lupin III: Lupin ni wa Shi o, Zenigata ni wa Koi o",PS2,2007,Adventure,0
Furu Furu Park,Wii,2007,Misc,0.05
Hatsune Miku: Project Diva X,PS4,2016,Misc,0.02
Alter Echo,XB,2003,Shooter,0.04
Fushigi? Kagaku: Nazotoki Quiz Training - NazoTore,DS,2008,Misc,0
BeatMania IIDX 4th Style: New Songs Collection,PS2,2001,Simulation,0
G1 Grand Prix,3DS,2012,Action,0
Resident Evil 4 HD,PS4,2016,Shooter,0.04
Impossible Mission,PSP,2007,Platform,0
Around the World in 80 Days,GBA,2004,Action,0.03
Houkago Shounen,DS,2008,Misc,0
Fishdom,DS,2011,Puzzle,0.05
Classic Dungeon X2,PSP,2011,Role-Playing,0
Whirl Tour,GC,2002,Sports,0.04
Pinball Tycoon,GBA,2002,Misc,0.03
Grand Ages: Medieval,PC,2015,Strategy,0
Major League Baseball 2K11,PS2,2011,Sports,0.02
Cartoon Network Block Party,GBA,2004,Misc,0.03
Power Spike Pro Beach Volleyball,PS,2000,Sports,0.03
White Album: Tsuzurareru Fuyu no Omoide,PS3,2010,Adventure,0
Harukanaru Toki no Naka de: Yumenoukihashi,DS,2008,Adventure,0
Shinseiki Evangelion- Eva: Yukai na Nakama Tachi,PS,1998,Misc,0
SD Gundam: Scad Hammers,Wii,2006,Strategy,0
Spitfire Heroes: Tales of the Royal Air Force,DS,2008,Simulation,0.05
Super Bust-A-Move,GBA,2001,Puzzle,0.03
Saints Row: Gat out of Hell,PS4,2015,Action,0
ZooCube,GBA,2002,Puzzle,0.03
Stunt GP,PS2,2001,Racing,0.02
D.Gray-man: Kami no Shitotachi,DS,2007,Adventure,0
Strikers 1945,SAT,1996,Shooter,0
NBA 2K,DC,1999,Sports,0
Super Jinsei Game 2,SNES,1995,Misc,0
World Series of Poker,GC,2005,Misc,0.04
Jikkyou Oshaberi Parodius,SNES,1995,Shooter,0
Plants vs. Zombies: Garden Warfare 2,PC,2016,Shooter,0
J-League Winning Eleven 2010: Club Championship,PS2,2010,Sports,0
Johnny Bazookatone,PS,1995,Platform,0.03
Reign of Fire,GBA,2002,Shooter,0.03
Koihime Musou,PS2,2008,Adventure,0
Nicktoons: Attack of the Toybots,DS,2007,Platform,0.04
Singularity,PC,2010,Shooter,0
NASCAR Heat Evolution,PS4,2016,Racing,0.04
Cartoon Network Racing,DS,2006,Action,0.04
Ms Saga: A New Dawn,PS2,2005,Role-Playing,0.02
Kekkon Zenya,SAT,1995,Adventure,0
Child of Light,PS4,2014,Role-Playing,0
Finny the Fish & the Seven Waters,PS2,2004,Sports,0.02
The Grim Adventures of Billy & Mandy,Wii,2006,Action,0.04
Barnyard,GBA,2006,Action,0.03
Next Generation of Chaos,PS2,2002,Role-Playing,0
GrimGrimoire,PS2,2007,Strategy,0.01
Katekyoo Hitman Reborn! DS: Bongole Shiki Taisen Battle Sugoroku,DS,2008,Misc,0
Rock of the Dead,PS3,2010,Shooter,0.04
TNA iMPACT: Cross the Line,DS,2010,Fighting,0.04
Deadliest Catch: Alaskan Storm,X360,2008,Sports,0.04
Golden Axe: The Duel,SAT,1994,Fighting,0
J-League '96 Dream Stadium,SNES,1996,Sports,0
Capcom vs. SNK: Millennium Fight 2000 Pro,DC,2001,Fighting,0
Crime Life: Gang Wars,XB,2005,Action,0.04
Tokimeki Memorial: Girls Side 1st Love,DS,2007,Adventure,0
Rugby 2005,XB,2005,Sports,0.04
"Warhammer 40,000: Dawn of War",PC,2004,Strategy,0.01
Taito Legends,XB,2005,Misc,0.04
Rock 'N Roll Racing,GBA,2003,Racing,0.03
Reader Rabbit 2nd Grade,Wii,,Misc,0.04
Silhouette Mirage,PS,1998,Platform,0.03
Dynasty Warriors Vol. 2,PSP,2006,Action,0.04
Freelancer,PC,2003,Simulation,0.02
Treasure Report: Kikai Jikake no Isan,DS,2011,Adventure,0
Growlanser VI: Precarious World,PS2,2007,Role-Playing,0
Block Kuzushi,SNES,1995,Puzzle,0
LEGO Indiana Jones 2: The Adventure Continues,PC,2009,Action,0.02
American Bass Challenge,GBA,2001,Sports,0.03
American Chopper 2: Full Throttle,GC,2005,Racing,0.04
Ultimate Ghosts 'n Goblins (JP sales),PSP,2006,Platform,0
Rugby 06,PS2,2006,Sports,0.02
Fatal Frame II: Crimson Butterfly Director's Cut,XB,2004,Action,0.04
2002 FIFA World Cup,GC,2002,Sports,0.04
The Lord of the Rings: The Battle for Middle-Earth II,X360,2006,Strategy,0
LEGO The Hobbit,PC,2014,Action,0
Need for Speed Carbon,PC,2006,Racing,0
Colin McRae Rally 2005,XB,2004,Racing,0.04
Venus & Braves: Majo to Megami to Horobi no Yogen,PSP,2011,Role-Playing,0
Zoop,PS,1995,Puzzle,0.03
Saiyuki: Journey West,PS,1999,Strategy,0.03
Powerful Golf,DS,2011,Sports,0
Rock Band Country Track Pack 2,X360,2011,Misc,0.04
Detective Conan: Marionette Symphony,3DS,2013,Adventure,0
Utawarerumono: Itsuwari no Kamen,PS3,2015,Adventure,0
American Chopper 2: Full Throttle,XB,2005,Racing,0.04
Amnesia Crowd,PSP,2013,Misc,0
Pachitte Chonmage Tatsujin 15: Pachinko Fuyu no Sonata 2,PS2,2008,Misc,0
Monster Hunter Frontier Online,PS3,,Role-Playing,0
